1U1,1+1 AG INH O.N.
ADS,ADIDAS AG NA O.N.
AIR,AIRBUS SE
AIXA,AIXTRON SE NA O.N.
ALV,ALLIANZ SE NA O.N.
AOX,ALSTRIA OFFICE REIT-AG
AT1,AROUNDTOWN EO-,01
NDA,AURUBIS AG
AG1,AUTO1 GROUP SE  INH O.N.
BAS,BASF SE NA O.N.
BMW,BAY.MOTOREN WERKE AG ST
BAYN,BAYER AG NA O.N.
BC8,BECHTLE AG O.N.
BFSA,BEFESA S.A. ORD. O.N.
BEI,BEIERSDORF AG O.N.
BNR,BRENNTAG SE NA O.N.
COK,CANCOM SE O.N.
AFX,CARL ZEISS MEDITEC AG
CBK,COMMERZBANK AG
COP,COMPUGROUP MED. NA O.N.
CON,CONTINENTAL AG O.N.
1COV,COVESTRO AG O.N.
EVD,CTS EVENTIM KGAA
DAI,DAIMLER AG NA O.N.
DHER,DELIVERY HERO SE NA O.N.
DBK,DEUTSCHE BANK AG NA O.N.
DB1,DEUTSCHE BOERSE NA O.N.
DPW,DEUTSCHE POST AG NA O.N.
DTE,DT.TELEKOM AG NA
DUE,DUERR AG O.N.
EOAN,E.ON SE NA O.N.
EUZ,ECKERT+ZIEGLER AG O.N.
EVK,EVONIK INDUSTRIES NA O.N.
EVT,EVOTEC SE INH O.N.
FRA,FRAPORT AG FFM.AIRPORT
FNTN,FREENET AG NA O.N.
FME,FRESEN.MED.CARE KGAA O.N.
FRE,FRESENIUS SE+CO.KGAA O.N.
FPE3,FUCHS PETROLUB VZO NA ON
G1A,GEA GROUP AG
GXI,GERRESHEIMER AG
GYC,GRAND CITY PROPERT.EO-,10
HNR1,HANNOVER RUECK SE NA O.N.
HEI,HEIDELBERGCEMENT AG O.N.
HLE,HELLA GMBH+CO. KGAA O.N.
HFG,HELLOFRESH SE INH O.N.
HEN3,HENKEL AG+CO.KGAA VZO
BOSS,HUGO BOSS AG NA O.N.
HYQ,HYPOPORT SE NA O.N.
IFX,INFINEON TECH.AG NA O.N.
JEN,JENOPTIK AG NA O.N.
JUN3,JUNGHEINRICH AG O.N.VZO
SDF,K+S AG NA O.N.
KGX,KION GROUP AG
KBX,KNORR-BREMSE AG INH O.N.
LXS,LANXESS AG
LEG,LEG IMMOBILIEN SE NA O.N.
LIN,LINDE PLC EO 0,001
LHA,LUFTHANSA AG VNA O.N.
MRK,MERCK KGAA O.N.
MOR,MORPHOSYS AG O.N.
MTX,MTU AERO ENGINES NA O.N.
MUV2,MUENCH.RUECKVERS.VNA O.N.
NEM,NEMETSCHEK SE O.N.
NDX1,NORDEX SE O.N.
PFV,PFEIFFER VACUUM TECH.O.N.
PAH3,PORSCHE AUTOM.HLDG VZO
PSM,PROSIEBENSAT.1 NA O.N.
PUM,PUMA SE
QIA,QIAGEN NV EO -,01
RAA,RATIONAL AG
RHM,RHEINMETALL AG
RWE,RWE AG INH O.N.
SANT,S+T AG O.N.
SAP,SAP SE O.N.
SRT3,SARTORIUS AG VZO O.N.
G24,SCOUT24 SE NA O.N.
SIE,SIEMENS AG  NA O.N.
ENR,SIEMENS ENERGY AG NA O.N.
SHL,SIEMENS HEALTH.AG NA O.N.
WAF,SILTRONIC AG NA O.N.
S92,SMA SOLAR TECHNOL.AG
SOW,SOFTWARE AG  NA O.N.
SAX,STROEER SE + CO. KGAA
SUSE,SUSE S.A. DL 1
SY1,SYMRISE AG INH. O.N.
TEG,TAG IMMOBILIEN AG
TLX,TALANX AG NA O.N.
TMV,TEAMVIEWER AG  INH O.N.
O2D,TELEFONICA DTLD HLDG NA
TKA,THYSSENKRUPP AG O.N.
UN01,UNIPER SE  NA O.N.
UTDI,UTD.INTERNET AG NA
VTWR,VANTAGE TOWERS AG NA O.N.
VAR1,VARTA AG O.N.
VOW3,VOLKSWAGEN AG VZO O.N.
VNA,VONOVIA SE NA O.N.
WCH,WACKER CHEMIE O.N.
ZAL,ZALANDO SE
ZO1,ZOOPLUS AG
